"","IF_line","LD1","LD2","LD3"
"91",10,3.90248447398437,-1.50481165188521,0.519581441569642
"92",10,4.17403503935178,0.284331202841197,-0.090377085943315
"93",10,4.05269165838252,0.31188759875517,-0.882442750244307
"94",10,5.35664558716272,1.14282389059757,0.967349238997175
"95",10,6.03244103389052,2.43229505134325,1.56585513181559
"96",10,5.70538476316282,2.93247291688324,0.861300737451098
"97",10,6.31103953682267,0.0978245268945575,2.13637867490897
"98",10,5.8939722501104,2.4635317900201,-0.0578744272568786
"99",10,5.01517853579758,0.694693793689679,-0.273102818849921
"100",10,4.22706015743244,0.345522711328502,0.483831141156723
"101",10,4.3219884211401,0.152610511686641,2.61057575247068
"102",10,4.66101813611628,1.79645007713088,1.01027977636094
"103",10,4.91180795571524,1.20254365130187,0.504468321980333
